"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 04 15:00:24 GMT 2024","Wed Dec 04 15:00:38 GMT 2024","13172","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"failed","Wed Dec 04 15:01:22 GMT 2024","Wed Dec 04 15:01:30 GMT 2024","7115","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"passed","Wed Dec 04 15:02:49 GMT 2024","Wed Dec 04 15:03:18 GMT 2024","28472","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"skipped","Wed Dec 04 15:00:38 GMT 2024","Wed Dec 04 15:00:43 GMT 2024","5608","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Wed Dec 04 15:02:31 GMT 2024","Wed Dec 04 15:02:49 GMT 2024","17803","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"passed","Wed Dec 04 15:01:30 GMT 2024","Wed Dec 04 15:01:39 GMT 2024","9579","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"failed","Wed Dec 04 14:58:31 GMT 2024","Wed Dec 04 14:59:18 GMT 2024","47022","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"failed","Wed Dec 04 15:01:54 GMT 2024","Wed Dec 04 15:02:14 GMT 2024","20306","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"failed","","","","","SwiftRadioUITests","","","","testCrash()",""
"failed","Wed Dec 04 14:59:49 GMT 2024","Wed Dec 04 15:00:07 GMT 2024","18492","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"passed","Wed Dec 04 15:00:58 GMT 2024","Wed Dec 04 15:01:22 GMT 2024","24333","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"failed","Wed Dec 04 15:00:07 GMT 2024","Wed Dec 04 15:00:24 GMT 2024","16844","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"failed","Wed Dec 04 15:01:40 GMT 2024","Wed Dec 04 15:01:53 GMT 2024","13784","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"failed","Wed Dec 04 15:00:44 GMT 2024","Wed Dec 04 15:00:58 GMT 2024","13975","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"passed","Wed Dec 04 15:02:14 GMT 2024","Wed Dec 04 15:02:31 GMT 2024","16634","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
